id,client,p1,p2,p3,date,type,influencer,referer,clientId,influencerId
1000000,c30,7780,11040,13592,2020-05-29,Order,c7,Pinterest,30,7
1000001,c45,18550,1722,10138,2020-03-05,Order,c17,Facebook,45,17
1000002,c73,10265,1722,10138,2020-12-17,Order,c31,Youtube,73,31
1000003,c60,7136,1722,10138,2020-11-21,Order,c25,Youtube,60,25
1000004,c72,11365,1722,10138,2020-02-22,Order,c12,Twitter,72,12
1000005,c97,11089,1722,10138,2020-09-12,Order,c50,Facebook,97,50
1000006,c28,10601,1722,10138,2020-08-14,Order,c22,Youtube,28,22
1000007,c84,18104,1722,10138,2020-01-20,Order,c43,TikTok,84,43
1000008,c52,9432,1722,10138,2020-08-02,Order,c44,Pinterest,52,44
1000009,c59,18331,1722,10138,2020-01-23,Order,c55,TikTok,59,55
1000010,c55,14274,5732,10625,2020-07-20,Order,c55,Snapchat,55,55
1000011,c84,3462,9613,2493,2020-08-10,Order,c31,Youtube,84,31
1000012,c38,12872,13049,1695,2020-02-16,Order,c5,Instagram,38,5
1000013,c25,3179,11759,8021,2020-11-20,Order,c27,Youtube,25,27
1000014,c14,5530,7215,10933,2020-02-15,Order,c7,TikTok,14,7
1000015,c89,11426,13149,4469,2020-04-02,Order,c6,Youtube,89,6
1000016,c89,16605,17261,12346,2020-10-07,Order,c61,Youtube,89,61
1000017,c65,5201,17261,12346,2020-11-13,Order,c14,Twitter,65,14
1000018,c10,10783,17261,12346,2020-09-14,Order,c25,Instagram,10,25
1000019,c54,3436,17261,12346,2020-04-01,Order,c33,Instagram,54,33
1000020,c49,7682,17261,12346,2020-03-20,Order,c4,Instagram,49,4
1000021,c69,2699,17261,12346,2020-02-16,Order,c23,Facebook,69,23
1000022,c92,10920,17261,12346,2020-05-30,Order,c59,Snapchat,92,59
1000023,c91,10217,4882,18021,2020-02-26,Order,c40,Instagram,91,40
1000024,c41,9360,4029,13693,2020-03-26,Order,c60,Youtube,41,60
1000025,c89,2031,4029,13693,2020-01-11,Order,c24,Snapchat,89,24
1000026,c98,11848,4029,13693,2020-10-03,Order,c32,Facebook,98,32
1000027,c43,3274,1090,18763,2020-08-05,Order,c9,TikTok,43,9
1000028,c88,3978,6317,12226,2020-05-29,Order,c6,TikTok,88,6
1000029,c54,18659,10702,6973,2020-01-12,Order,c43,Youtube,54,43
1000030,c99,14800,1206,3240,2020-09-25,Order,c12,Youtube,99,12
1000031,c49,2228,4714,14233,2020-12-25,Order,c52,Instagram,49,52
1000032,c97,16199,9171,11030,2020-07-12,Order,c35,Facebook,97,35
1000033,c46,8792,5156,16399,2020-05-03,Order,c52,Youtube,46,52
1000034,c54,1172,2887,8792,2020-05-02,Order,c43,Twitter,54,43
1000035,c20,11883,1548,2506,2020-04-08,Order,c70,Instagram,20,70
1000036,c78,8692,12659,7647,2020-10-02,Order,c3,Pinterest,78,3
1000037,c61,17495,5314,11750,2020-01-19,Order,c48,Instagram,61,48
1000038,c10,1102,12449,12775,2020-08-29,Order,c66,Snapchat,10,66
1000039,c83,14554,11989,18457,2020-06-04,Order,c23,Instagram,83,23
1000040,c68,1555,2158,2397,2020-05-24,Order,c51,Twitter,68,51
1000041,c62,16089,8036,9216,2020-03-11,Order,c60,Twitter,62,60
1000042,c17,1307,3385,6526,2020-01-27,Order,c7,Instagram,17,7
1000043,c78,1265,11913,6425,2020-10-30,Order,c59,Youtube,78,59
1000044,c46,15557,12642,4869,2020-01-05,Order,c44,Twitter,46,44
1000045,c60,18731,15200,4034,2020-07-09,Order,c29,Instagram,60,29
1000046,c66,1189,6266,8871,2020-11-06,Order,c33,Pinterest,66,33
1000047,c34,9928,10410,16827,2020-01-12,Order,c31,Twitter,34,31
1000048,c20,16421,11933,7020,2020-04-10,Order,c66,Instagram,20,66
1000049,c21,16170,14001,13638,2020-07-31,Order,c32,Snapchat,21,32
1000050,c46,3124,1124,11527,2020-01-06,Order,c3,Pinterest,46,3
1000051,c77,13178,2029,3958,2020-08-09,Order,c56,Instagram,77,56
