id,name,price,wprice
1000,Worn Shortsword,132.33,99.2475
1001,Bent Staff,32.33,24.2475
1002,Worn Mace,93.4,70.05
1003,Worn Axe,96,72
1004,Recruit's Shirt,4.6,3.45
1005,Recruit's Pants,13,9.75
1006,Recruit's Boots,264,198
1007,Squire's Boots,45,33.75
1008,Squire's Pants,12.75,9.5626
1009,Squire's Shirt,94.75,71.0625
1010,Footpad's Shoes,6.17,4.6275
1011,Footpad's Pants,30.5,22.875
1012,Footpad's Shirt,47.75,35.8125
1013,Neophyte's Boots,142,106.5
1014,Neophyte's Pants,16.71,12.5325
1015,Neophyte's Shirt,13.11,9.8325
1016,Apprentice's Boots,21.17,15.8775
1017,Apprentice's Robe,14.8,11.1
1018,Acolyte's Robe,37.11,27.8325
1019,Acolyte's Shoes,139,104.25
1020,Layered Tunic,23.67,17.7525
1021,Dwarven Leather Pants,188,141
1022,Dwarven Cloth Britches,19,14.25
1023,Soft Fur-Lined Shoes,12.8,9.6
1024,Dirty Leather Vest,324,243
1025,Tough Jerky,84.75,63.5625
1026,Minor Healing Potion,29.5,22.125
1027,Thug Pants,44.25,33.1875
1028,Thug Boots,28.3,21.225
1029,Trapper's Shirt,77.2,57.9
1030,Rugged Trapper's Boots,2.5,1.875
1031,Deprecated War Harness,24.4,18.3
1032,Brawler's Pants,51.25,38.4375
1033,Brawler's Boots,49,36.75
1034,Rugged Trapper's Pants,56.25,42.1875
1035,Rugged Trapper's Shirt,120,90
1036,Primitive Kilt,133,99.75
1037,Primitive Mantle,53.25,39.9375
1038,Refreshing Spring Water,120.75,90.5625
1039,Garrick's Head,42,31.5
1040,Tattered Cloth Vest,35,26.25
1041,Tattered Cloth Pants,233.5,175.125
1042,Tattered Cloth Boots,61.5,46.125
1043,Thick Cloth Vest,264,198
1044,Thick Cloth Pants,31,23.25
1045,Thick Cloth Shoes,55.43,41.5725
1046,Thick Cloth Gloves,54.38,40.785
1047,Dirty Leather Pants,134,100.5
1048,Dirty Leather Boots,476,357
1049,Cured Leather Armor,143.67,107.7525
1050,Cured Leather Pants,235.5,176.625
1051,Cured Leather Boots,6.1,4.575
1052,Cured Leather Gloves,100.25,75.1875
1053,Scalemail Vest,35.89,26.9175
1054,Scalemail Pants,50.13,37.5975
1055,Scalemail Boots,102,76.5
1056,Dalaran Sharp,47.43,35.5725
1057,Dwarven Mild,26.44,19.83
1058,Destiny,352,264
1059,Bracers of the People's Militia,25,18.75
1060,Tattered Cloth Gloves,75.2,56.4
1061,Dirty Leather Gloves,24.75,18.5625
1062,Scalemail Gloves,35.25,26.4375
1063,Rabbit Handler Gloves,26.3,19.725
1064,Brawler Gloves,9.9,7.425
1065,Goretusk Liver,21,15.75
1066,Goretusk Liver Pie,1.67,1.2525
1067,Gnoll Paw,102.25,76.6875
1068,Notched Shortsword,6,4.5
1069,Recipe: Westfall Stew,232,174
1070,Westfall Stew,445,333.75
1071,Deprecated Malakai's Medallion,28.4,21.3
1072,Rolf and Malakai's Medallions,70.6,52.95
1073,Holy Spring Water,3.56,2.67
1074,Sack of Barley,12.22,9.165
1075,Sack of Corn,96,72
1076,Sack of Rye,250,187.5
1077,A Sycamore Branch,54.63,40.9725
1078,Bundle of Charred Oak,13.6,10.2
1079,Thunderbrew's Boot Flask,52.88,39.66
1080,Marshal McBride's Documents,408,306
1081,Stormwind Armor Marker,41.13,30.8475
1082,Tough Wolf Meat,22.3,16.725
1083,Red Burlap Bandana,96.4,72.3
1084,Dragonmaw Shortsword,82.33,61.7475
1085,Shortsword of Vengeance,5,3.75
1086,Tunnel Pick,8.75,6.5625
1087,Ice-Covered Bracers,184.5,138.375
1088,Silverleaf,40.5,30.375
1089,Flanged Mace,60.83,45.6225
1090,Long Bo Staff,166.5,124.875
1091,Lumberjack Axe,30.33,22.7475
1092,Chunk of Boar Meat,26.29,19.7175
1093,Large Candle,28.29,21.2175
1094,Gold Dust,23.83,17.8725
1095,Malachite,116.67,87.5025
1096,Vendetta,2.25,1.6875
1097,Kobold Excavation Pick,52.14,39.105
1098,Torn Murloc Fin,54.88,41.16
1099,Stone Gnoll Hammer,63,47.25
